5-MCDG_1	5-MCDG	thymine DNA glycosylase 
NEFL_1	NEFL	neurofilament light 
NEGR1_1	NEGR1	Neuronal growth regulator 1 
NEIL1_1	NEIL1	endonuclease VIII-like 1 
NEK2_1	NEK2	NIMA related kinase 2 
NEK3_1	NEK3	NIMA related kinase 3 
NEK6_1	NEK6	NIMA related kinase 6 
NEK7_1	NEK7	NIMA related kinase 7 
NEK7_2	NEK7	NIMA related kinase 7 
NELFA_1	NELFA	negative elongation factor complex member A 
NELFB_1	NELFB	negative elongation factor complex member B 
NELFCD_1	NELFCD	negative elongation factor complex member C/D 
NELL2_1	NELL2	neural EGFL like 2 
NEMP2_1	NEMP2	nuclear envelope integral membrane protein 2 
NENF_1	NENF	neudesin neurotrophic factor 
NET1_1	NET1	neuroepithelial cell transforming 1 
NEUROD1_1	NEUROD1	neuronal differentiation 1 
NEUROG1_1	NEUROG1	neurogenin 1 
NEXN_1	NEXN	nexilin F-actin binding protein 
NEXN_2	NEXN	nexilin F-actin binding protein 
NF1_1	NF1	neurofibromin 1 
NF2_1	NF2	neurofibromin 2 
NFASC_1	NFASC	neurofascin 
NFAT5_1	NFAT5	nuclear factor of activated T-cells 5 
NFATC3_1	NFATC3	nuclear factor of activated T-cells 3 
NFE2L1_1	NFE2L1	Nuclear factor erythroid 2-related factor 1 
NFE2L1_2	NFE2L1	Nuclear factor erythroid 2-related factor 1 
NFE2L2_1	NFE2L2	nuclear factor, erythroid 2 like 2 
NFIL3_1	NFIL3	
NFIL3_2	NFIL3	
NFKB1_1	NFKB1	nuclear factor kappa B subunit 1 
NFKB2_1	NFKB2	nuclear factor kappa B subunit 2 
NFKB2_2	NFKB2	nuclear factor kappa B subunit 2 
NFKB2_3	NFKB2	nuclear factor kappa B subunit 2 
NFKB2_4	NFKB2	nuclear factor kappa B subunit 2 
NFKBIA_1	NFKBIA	NFKB inhibitor alpha 
NFKBIZ_1	NFKBIZ	NFKB inhibitor zeta 
NFRKB_1	NFRKB	nuclear factor related to kappaB binding protein 
NFU1_1	NFU1	NFU1 iron-sulfur cluster scaffold 
NFYA_1	NFYA	nuclear transcription factor Y subunit alpha 
NFYB_1	NFYB	Nuclear transcription factor Y subunit beta 
NFYC_1	NFYC	nuclear transcription factor Y subunit gamma 
NFYC_2	NFYC	nuclear transcription factor Y subunit gamma 
NGB_1	NGB	neuroglobin 
NGEF_1	NGEF	neuronal guanine nucleotide exchange factor 
NGFR_1	NGFR	Tumor necrosis factor receptor superfamily member 16 
NGF_1	NGF	nerve growth factor 
NGF_2	NGF	nerve growth factor 
NGLY1_1	NGLY1	N-glycanase 1 
NGLY1_2	NGLY1	N-glycanase 1 
NHLH1_1	NHLH1	nescient helix-loop-helix 1 
NHLRC2_1	NHLRC2	NHL repeat containing 2 
NHLRC3_1	NHLRC3	NHL repeat containing 3 
NHP2_1	NHP2	NHP2 ribonucleoprotein 
NHSL1_1	NHSL1	NHS like 1 
NIF3L1_1	NIF3L1	NGG1 interacting factor 3 like 1 
NIFK_1	NIFK	nucleolar protein interacting with the FHA domain of MKI67 
NINJ1_1	NINJ1	ninjurin 1 
NINJ2_1	NINJ2	ninjurin 2 
NINJ2_2	NINJ2	ninjurin 2 
NIP7_1	NIP7	NIP7, nucleolar pre-rRNA processing protein 
NIPA1_1	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1 
NIPA2_1	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2 
NIPAL3_1	NIPAL3	NIPA like domain containing 3 
NIPSNAP2_1	NIPSNAP2	nipsnap homolog 2 
NIT1_1	NIT1	nitrilase 1 
NIT2_1	NIT2	nitrilase family member 2 
NKAIN4_1	NKAIN4	sodium/potassium transporting ATPase interacting 4 
NKAPD1_1	NKAPD1	NKAP domain containing 1 
NKD1_1	NKD1	naked cuticle homolog 1 
NKIRAS1_1	NKIRAS1	NFKB inhibitor interacting Ras like 1 
NKIRAS2_1	NKIRAS2	NF-kappa-B inhibitor-interacting Ras-like protein 2 
NKRF_1	NKRF	NFKB repressing factor 
NKRF_2	NKRF	NFKB repressing factor 
NKX2-1_1	NKX2-1	NK2 homeobox 1 
NKX2-3_1	NKX2-3	NK2 homeobox 3 
NKX2-3_2	NKX2-3	NK2 homeobox 3 
NKX2-5_1	NKX2-5	NK2 homeobox 5 
NMB_1	NMB	neuromedin B 
NME4_1	NME4	NME/NM23 nucleoside diphosphate kinase 4 
NME5_1	NME5	NME/NM23 family member 5 
NME5_2	NME5	NME/NM23 family member 5 
NME7_1	NME7	NME/NM23 family member 7 
NMI_1	NMI	N-myc and STAT interactor 
NMNAT2_1	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 
NMRAL1_1	NMRAL1	NmrA like redox sensor 1 
NMRK1_1	NMRK1	
NMRK2_1	NMRK2	nicotinamide riboside kinase 2 
NMRK2_2	NMRK2	nicotinamide riboside kinase 2 
NMRK2_3	NMRK2	nicotinamide riboside kinase 2 
NMT1_1	NMT1	N-myristoyltransferase 1 
NMUR1_1	NMUR1	neuromedin U receptor 1 
NOC4L_1	NOC4L	nucleolar complex associated 4 homolog 
NOL11_1	NOL11	nucleolar protein 11 
NOL7_1	NOL7	nucleolar protein 7 
NONO_1	NONO	non-POU domain containing octamer binding 
NOP16_1	NOP16	NOP16 nucleolar protein 
NOP2_1	NOP2	NOP2 nucleolar protein 
NOS2_1	NOS2	nitric oxide synthase 2 
NOTCH2_1	NOTCH2	notch 2 
NOVA1_1	NOVA1	NOVA alternative splicing regulator 1 
NOV_1	NOV	nephroblastoma overexpressed 
NPBWR2_1	NPBWR2	neuropeptides B and W receptor 2 
NPB_1	NPB	neuropeptide B 
NPC1_1	NPC1	NPC intracellular cholesterol transporter 1 
NPC2_1	NPC2	NPC intracellular cholesterol transporter 2 
NPDC1_1	NPDC1	neural proliferation, differentiation and control 1 
NPEPL1_1	NPEPL1	aminopeptidase like 1 
NPEPPS_1	NPEPPS	aminopeptidase puromycin sensitive 
NPFFR2_1	NPFFR2	neuropeptide FF receptor 2 
NPFF_1	NPFF	
NPHS2_1	NPHS2	NPHS2, podocin 
NPLOC4_1	NPLOC4	NPL4 homolog, ubiquitin recognition factor 
NPLOC4_2	NPLOC4	NPL4 homolog, ubiquitin recognition factor 
NPL_1	NPL	N-acetylneuraminate pyruvate lyase 
NPM1_1	NPM1	nucleophosmin 1 
NPM3_1	NPM3	nucleophosmin/nucleoplasmin 3 
NPPB_1	NPPB	Natriuretic peptides A Atrial natriuretic factor 
NPR2_1	NPR2	
NPR3_1	NPR3	
NPRL2_1	NPRL2	NPR2 like, GATOR1 complex subunit 
NPTN_1	NPTN	neuroplastin 
NPTX2_1	NPTX2	neuronal pentraxin 2 
NPW_1	NPW	neuropeptide W 
NPY2R_1	NPY2R	neuropeptide Y receptor Y2 
NPY2R_2	NPY2R	neuropeptide Y receptor Y2 
NPY_1	NPY	neuropeptide Y 
NQO1_1	NQO1	NADH dehydrogenase 
NQO2_1	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 
NR0B1_1	NR0B1	nuclear receptor subfamily 0 group B member 1 
NR0B2_1	NR0B2	nuclear receptor subfamily 0 group B member 2 
NR1D2_1	NR1D2	nuclear receptor subfamily 1 group D member 2 
NR1H4_1	NR1H4	nuclear receptor subfamily 1 group H member 4 
NR2C2AP_1	NR2C2AP	nuclear receptor 2C2 associated protein 
NR2E1_1	NR2E1	nuclear receptor subfamily 2 group E member 1 
NR2F2_1	NR2F2	nuclear receptor subfamily 2 group F member 2 
NRAS_1	NRAS	NRAS proto-oncogene, GTPase 
NRBF2_1	NRBF2	nuclear receptor binding factor 2 
NRBP1_1	NRBP1	nuclear receptor binding protein 1 
NRCAM_1	NRCAM	neuronal cell adhesion molecule 
NRCAM_2	NRCAM	neuronal cell adhesion molecule 
NRCAM_3	NRCAM	neuronal cell adhesion molecule 
NRDC_1	NRDC	nardilysin convertase 
NRG4_1	NRG4	neuregulin 4 
NRGN_1	NRGN	neurogranin 
NRN1_1	NRN1	neuritin 1 
NRP1_1	NRP1	neuropilin 1 
NRP2_1	NRP2	neuropilin 2 
NRSN1_1	NRSN1	neurensin 1 
NRSN1_2	NRSN1	neurensin 1 
NRTN_1	NRTN	neurturin 
NRXN1_1	NRXN1	Neurexin-1-beta 
NSA2_1	NSA2	
NSD1_1	NSD1	nuclear receptor binding SET domain protein 1 
NSD1_2	NSD1	nuclear receptor binding SET domain protein 1 
NSDHL_1	NSDHL	NAD dependent steroid dehydrogenase-like 
NSFL1C_1	NSFL1C	NSFL1 cofactor 
NSG1_1	NSG1	neuronal vesicle trafficking associated 1 
NSG2_1	NSG2	neuronal vesicle trafficking associated 2 
NSMCE1_1	NSMCE1	NSE1 homolog, SMC5-SMC6 complex component 
NSMCE2_1	NSMCE2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase 
NSUN2_1	NSUN2	NOP2/Sun RNA methyltransferase family member 2 
NSUN3_1	NSUN3	NOP2/Sun RNA methyltransferase family member 3 
NSUN4_1	NSUN4	NOP2/Sun RNA methyltransferase family member 4 
NSUN5_1	NSUN5	NOP2/Sun RNA methyltransferase family member 5 
NSUN6_1	NSUN6	NOP2/Sun RNA methyltransferase family member 6 
NT5C1A_1	NT5C1A	5'-nucleotidase, cytosolic IA 
NT5C2_1	NT5C2	cytosolic purine 5'-nucleotidase 
NT5C2_2	NT5C2	cytosolic purine 5'-nucleotidase 
NT5C3A_1	NT5C3A	Cytosolic 5'-nucleotidase 3A 
NT5C3A_2	NT5C3A	Cytosolic 5'-nucleotidase 3A 
NT5C3B_1	NT5C3B	5'-nucleotidase, cytosolic IIIB 
NT5DC1_1	NT5DC1	5'-nucleotidase domain containing 1 
NT5DC2_1	NT5DC2	5'-nucleotidase domain containing 2 
NT5DC3_1	NT5DC3	5'-nucleotidase domain containing 3 
NTAN1_1	NTAN1	N-terminal asparagine amidase 
NTF3_1	NTF3	neurotrophin-3 isoform 2 preproprotein 
NTHL1_1	NTHL1	nth like DNA glycosylase 1 
NTMT1_1	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1 
NTM_1	NTM	neurotrimin 
NTPCR_1	NTPCR	nucleoside-triphosphatase, cancer-related 
NTRK1_1	NTRK1	neurotrophic receptor tyrosine kinase 1 
NTRK2_1	NTRK2	
NTRK3_1	NTRK3	NT-3 growth factor receptor 
NTSR1_1	NTSR1	neurotensin receptor 1 
NTS_1	NTS	neurotensin 
NUB1_1	NUB1	negative regulator of ubiquitin like proteins 1 
NUBP1_1	NUBP1	nucleotide binding protein 1 
NUBP2_1	NUBP2	nucleotide binding protein 2 
NUBPL_1	NUBPL	nucleotide binding protein like 
NUCB2_1	NUCB2	nucleobindin 2 
NUCKS1_1	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 
NUDCD2_1	NUDCD2	NudC domain containing 2 
NUDC_1	NUDC	nuclear distribution C, dynein complex regulator 
NUDT13_1	NUDT13	nudix hydrolase 13 
NUDT14_1	NUDT14	nudix hydrolase 14 
NUDT19_1	NUDT19	Nucleoside diphosphate-linked moiety X motif 19 
NUDT1_1	NUDT1	nudix hydrolase 1 
NUDT21_1	NUDT21	nudix hydrolase 21 
NUDT2_1	NUDT2	
NUDT5_1	NUDT5	ADP-sugar pyrophosphatase 
NUDT5_2	NUDT5	ADP-sugar pyrophosphatase 
NUDT7_1	NUDT7	nudix hydrolase 7 
NUDT9_1	NUDT9	nudix hydrolase 9 
NUF2_1	NUF2	NUF2, NDC80 kinetochore complex component 
NUFIP1_1	NUFIP1	NUFIP1, FMR1 interacting protein 1 
NUP107_1	NUP107	nucleoporin 107 
NUP133_1	NUP133	nucleoporin 133 
NUP160_1	NUP160	nucleoporin 160 
NUP188_1	NUP188	nucleoporin 188 
NUP37_1	NUP37	nucleoporin 37 
NUP43_1	NUP43	nucleoporin 43 
NUP58_1	NUP58	nucleoporin 58 
NUP85_1	NUP85	nucleoporin 85 
NUP93_1	NUP93	nucleoporin 93 
NUP98_1	NUP98	nucleoporin 98 
NUS1_1	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit 
NUSAP1_1	NUSAP1	nucleolar and spindle associated protein 1 
NUTF2_1	NUTF2	nuclear transport factor 2 
NVL_1	NVL	nuclear VCP-like 
NXPE3_1	NXPE3	neurexophilin and PC-esterase domain family member 3 
OAF_1	OAF	out at first homolog 
OARD1_1	OARD1	O-acyl-ADP-ribose deacylase 1 
OAT_1	OAT	ornithine aminotransferase 
OCIAD1_1	OCIAD1	OCIA domain containing 1 
ODC1_1	ODC1	ornithine decarboxylase 1 
ODF2_1	ODF2	outer dense fiber of sperm tails 2 
OGDH_1	OGDH	oxoglutarate dehydrogenase 
OGFOD2_1	OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2 
OGG1_1	OGG1	8-oxoguanine DNA glycosylase 
OGN_1	OGN	osteoglycin 
OGT_1	OGT	O-linked N-acetylglucosamine transferase 
OIP5_1	OIP5	Opa interacting protein 5 
OLFM1_1	OLFM1	olfactomedin 1 
OLFM1_2	OLFM1	olfactomedin 1 
OLFM3_1	OLFM3	olfactomedin 3 
OLFML1_1	OLFML1	olfactomedin like 1 
OLFML3_1	OLFML3	olfactomedin like 3 
OLFML3_2	OLFML3	olfactomedin like 3 
OLIG2_1	OLIG2	Oligodendrocyte transcription factor 2 
ONECUT1_1	ONECUT1	one cut homeobox 1 
OPA1_1	OPA1	OPA1, mitochondrial dynamin like GTPase 
OPCML_1	OPCML	opioid binding protein/cell adhesion molecule like 
OPHN1_1	OPHN1	oligophrenin 1 
OPRL1_1	OPRL1	opioid related nociceptin receptor 1 
OPTC_1	OPTC	opticin 
OPTN_1	OPTN	optineurin 
ORAI1_1	ORAI1	ORAI calcium release-activated calcium modulator 1 
ORAI2_1	ORAI2	ORAI calcium release-activated calcium modulator 2 
ORAOV1_1	ORAOV1	oral cancer overexpressed 1 
ORC1_1	ORC1	origin recognition complex subunit 1 
ORC2_1	ORC2	origin recognition complex subunit 2 
ORC3_1	ORC3	origin recognition complex subunit 3 
ORC3_2	ORC3	origin recognition complex subunit 3 
ORC4_1	ORC4	origin recognition complex subunit 4 
ORC5_1	ORC5	origin recognition complex subunit 5 
ORC6_1	ORC6	origin recognition complex subunit 6 
ORMDL1_1	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1 
ORMDL3_1	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3 
ORMDL3_2	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3 
OSBPL1A_1	OSBPL1A	oxysterol binding protein like 1A 
OSBPL2_1	OSBPL2	oxysterol binding protein like 2 
OSBPL7_1	OSBPL7	oxysterol binding protein like 7 
OSBPL9_1	OSBPL9	oxysterol binding protein like 9 
OSCP1_1	OSCP1	organic solute carrier partner 1 
OSGEPL1_1	OSGEPL1	O-sialoglycoprotein endopeptidase like 1 
OSGIN1_1	OSGIN1	oxidative stress induced growth inhibitor 1 
OST4_1	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic 
OSTC_1	OSTC	oligosaccharyltransferase complex non-catalytic subunit 
OSTF1_1	OSTF1	
OSTM1_1	OSTM1	osteopetrosis associated transmembrane protein 1 
OSTN_1	OSTN	osteocrin 
OTC_1	OTC	ornithine carbamoyltransferase 
OTOR_1	OTOR	otoraplin 
OTUD6B_1	OTUD6B	OTU domain-containing protein 6B 
OVCA2_1	OVCA2	OVCA2, serine hydrolase domain containing 
OXNAD1_1	OXNAD1	oxidoreductase NAD binding domain containing 1 
OXT_1	OXT	oxytocin/neurophysin I prepropeptide 
P2RX1_1	P2RX1	purinergic receptor P2X 1 
P2RX4_1	P2RX4	purinergic receptor P2X 4 
P2RX4_2	P2RX4	purinergic receptor P2X 4 
P2RY1_1	P2RY1	purinergic receptor P2Y1 
P2RY6_1	P2RY6	pyrimidinergic receptor P2Y6 
P2RY8_1	P2RY8	P2Y receptor family member 8 
P2RY8_2	P2RY8	P2Y receptor family member 8 
P3H4_1	P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic) 
P4HA1_1	P4HA1	prolyl 4-hydroxylase subunit alpha-1 isoform 4 precursor 
P4HA3_1	P4HA3	prolyl 4-hydroxylase subunit alpha 3 
P4HB_1	P4HB	prolyl 4-hydroxylase subunit beta 
PAAF1_1	PAAF1	proteasomal ATPase associated factor 1 
PABPC1L_1	PABPC1L	poly binding protein cytoplasmic 1 like 
PABPC1_1	PABPC1	polyadenylate-binding protein 1 
PACRGL_1	PACRGL	parkin coregulated like 
PACRG_1	PACRG	parkin coregulated 
PACRG_2	PACRG	parkin coregulated 
PACSIN2_1	PACSIN2	protein kinase C and casein kinase substrate in neurons 2 
PACSIN2_2	PACSIN2	protein kinase C and casein kinase substrate in neurons 2 
PACSIN3_1	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 
PACSIN3_2	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 
PADI3_1	PADI3	
PAF1_1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component 
PAFAH1B1_1	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 
PAFAH1B1_2	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 
PAFAH2_1	PAFAH2	platelet activating factor acetylhydrolase 2 
PAFAH2_2	PAFAH2	platelet activating factor acetylhydrolase 2 
PAH_1	PAH	phenylalanine hydroxylase 
PAIP1_1	PAIP1	
PAIP1_2	PAIP1	
PAIP2_1	PAIP2	poly binding protein interacting protein 2 
PAK1IP1_1	PAK1IP1	PAK1 interacting protein 1 
PAK3_1	PAK3	p21 activated kinase 3 
PAK3_2	PAK3	p21 activated kinase 3 
PALD1_1	PALD1	phosphatase domain containing, paladin 1 
PALMD_1	PALMD	palmdelphin 
PALM_1	PALM	paralemmin 
PAMR1_1	PAMR1	peptidase domain containing associated with muscle regeneration 1 
PAMR1_2	PAMR1	peptidase domain containing associated with muscle regeneration 1 
PAN2_1	PAN2	PAB-dependent poly-specific ribonuclease subunit PAN2 
PANK1_1	PANK1	pantothenate kinase 1 
PANK2_1	PANK2	pantothenate kinase 2 
PANX3_1	PANX3	pannexin 3 
PAPD7_1	PAPD7	poly RNA polymerase D7, non-canonical 
PAQR7_1	PAQR7	progestin and adipoQ receptor family member 7 
PARD3_1	PARD3	par-3 family cell polarity regulator 
PARD3_2	PARD3	par-3 family cell polarity regulator 
PARD6B_1	PARD6B	par-6 family cell polarity regulator beta 
PARD6G_1	PARD6G	par-6 family cell polarity regulator gamma 
PARG_1	PARG	poly(ADP-ribose) glycohydrolase 
PARM1_1	PARM1	prostate androgen-regulated mucin-like protein 1 
PARN_1	PARN	poly-specific ribonuclease PARN 
PARP16_1	PARP16	poly(ADP-ribose) polymerase family member 16 
PARP1_1	PARP1	poly 
PARP3_1	PARP3	poly(ADP-ribose) polymerase family member 3 
PARP4_1	PARP4	poly(ADP-ribose) polymerase family member 4 
PARPBP_1	PARPBP	PARP1 binding protein 
PARVB_1	PARVB	parvin beta 
PATZ1_1	PATZ1	POZ/BTB and AT hook containing zinc finger 1 
PAX6_1	PAX6	paired box 6 
PAX6_2	PAX6	paired box 6 
PBK_1	PBK	PDZ binding kinase 
PBLD_1	PBLD	phenazine biosynthesis like protein domain containing 
PBLD_2	PBLD	phenazine biosynthesis like protein domain containing 
PBRM1_1	PBRM1	polybromo 1 
PBX3_1	PBX3	PBX homeobox 3 
PCBD1_1	PCBD1	Pterin-4-alpha-carbinolamine dehydratase 
PCCB_1	PCCB	propionyl-CoA carboxylase beta subunit 
PCDH10_1	PCDH10	protocadherin 10 
PCDH18_1	PCDH18	protocadherin 18 
PCDH9_1	PCDH9	protocadherin 9 
PCDHA3_1	PCDHA3	Gallus gallus protocadherin alpha 12 , mRNA. 
PCDHGC3_1	PCDHGC3	protocadherin gamma subfamily C, 3 
PCID2_1	PCID2	PCI domain containing 2 
PCIF1_1	PCIF1	PDX1 C-terminal inhibiting factor 1 
PCK1_1	PCK1	phosphoenolpyruvate carboxykinase 1 
PCM1_1	PCM1	pericentriolar material 1 
PCMT1_1	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase 
PCNA_1	PCNA	Proliferating cell nuclear antigen 
PCSK7_1	PCSK7	proprotein convertase subtilisin/kexin type 7 
PCTP_1	PCTP	phosphatidylcholine transfer protein 
PCYOX1_1	PCYOX1	prenylcysteine oxidase 1 
PCYT2_1	PCYT2	phosphate cytidylyltransferase 2, ethanolamine 
PDCD10_1	PDCD10	programmed cell death 10 
PDCD4_1	PDCD4	programmed cell death 4 
PDCD5_1	PDCD5	programmed cell death 5 
PDCD6IP_1	PDCD6IP	programmed cell death 6 interacting protein 
PDCD6_1	PDCD6	programmed cell death 6 
PDCL3_1	PDCL3	phosducin like 3 
PDCL_1	PDCL	phosducin like 
PDC_1	PDC	phosducin 
PDDC1_1	PDDC1	Parkinson disease 7 domain-containing protein 1 isoform 2 
PDE3A_1	PDE3A	phosphodiesterase 3A 
PDE3B_1	PDE3B	phosphodiesterase 3B 
PDE4B_1	PDE4B	phosphodiesterase 4B 
PDE4C_1	PDE4C	phosphodiesterase 4C 
PDE6D_1	PDE6D	phosphodiesterase 6D 
PDE6G_1	PDE6G	phosphodiesterase 6G 
PDE6H_1	PDE6H	phosphodiesterase 6H 
PDGF-A_1	PDGF-A	platelet derived growth factor subunit A 
PDGFC_1	PDGFC	platelet derived growth factor C 
PDGFD_1	PDGFD	platelet derived growth factor D 
PDGFRL_1	PDGFRL	platelet derived growth factor receptor like 
PDHB_1	PDHB	pyruvate dehydrogenase E1 component subunit beta, mitochondrial 
PDHX_1	PDHX	pyruvate dehydrogenase complex component X 
PDIA3_1	PDIA3	protein disulfide isomerase family A member 3 
PDIA4_1	PDIA4	protein disulfide-isomerase A4 
PDIA5_1	PDIA5	protein disulfide isomerase family A member 5 
PDIA6_1	PDIA6	protein disulfide isomerase family A member 6 
PDK1_1	PDK1	pyruvate dehydrogenase kinase 1 
PDK3_1	PDK3	pyruvate dehydrogenase kinase 3 
PDK4_1	PDK4	pyruvate dehydrogenase kinase 4 
PDLIM1_1	PDLIM1	PDZ and LIM domain 1 
PDLIM3_1	PDLIM3	PDZ and LIM domain 3 
PDLIM4_1	PDLIM4	PDZ and LIM domain protein 4 
PDLIM5_1	PDLIM5	PDZ and LIM domain 5 
PDLIM7_1	PDLIM7	PDZ and LIM domain protein 7 
PDPK1_1	PDPK1	3-phosphoinositide dependent protein kinase 1 
PDRG1_1	PDRG1	p53 and DNA damage regulated 1 
PDRG1_2	PDRG1	p53 and DNA damage regulated 1 
PDS5B_1	PDS5B	PDS5 cohesin associated factor B 
PDSS1_1	PDSS1	decaprenyl diphosphate synthase subunit 1 
PDXK_1	PDXK	pyridoxal kinase 
PDXP_1	PDXP	pyridoxal phosphatase 
PDZD11_1	PDZD11	PDZ domain containing 11 
PDZK1IP1_1	PDZK1IP1	PDZK1 interacting protein 1 
PEBP1_1	PEBP1	phosphatidylethanolamine binding protein 1 
PECR_1	PECR	peroxisomal trans-2-enoyl-CoA reductase 
PELI1_1	PELI1	protein pellino homolog 1 
PELO_1	PELO	
PEMT_1	PEMT	phosphatidylethanolamine N-methyltransferase 
PEPD_1	PEPD	peptidase D 
PER3_1	PER3	period circadian regulator 3 
PEX10_1	PEX10	peroxisomal biogenesis factor 10 
PEX11G_1	PEX11G	peroxisomal biogenesis factor 11 gamma 
PEX12_1	PEX12	peroxisomal biogenesis factor 12 
PEX13_1	PEX13	peroxisomal biogenesis factor 13 
PEX14_1	PEX14	peroxisomal biogenesis factor 14 
PEX2_1	PEX2	peroxisomal biogenesis factor 2 
PEX3_1	PEX3	peroxisomal biogenesis factor 3 
PEX7_1	PEX7	peroxisomal biogenesis factor 7 
PFDN1_1	PFDN1	prefoldin subunit 1 
PFDN1_2	PFDN1	prefoldin subunit 1 
PFDN2_1	PFDN2	prefoldin subunit 2 
PFDN4_1	PFDN4	prefoldin subunit 4 
PFKFB4_1	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 
PFKP_1	PFKP	phosphofructokinase, platelet 
PFN2_1	PFN2	profilin 2 
PGAM1_1	PGAM1	Phosphoglycerate mutase 1 
PGAP2_1	PGAP2	post-GPI attachment to proteins 2 
PGD_1	PGD	phosphogluconate dehydrogenase 
PGGT1B_1	PGGT1B	
PGM1_1	PGM1	phosphoglucomutase 1 
PGM2L1_1	PGM2L1	phosphoglucomutase 2 like 1 
PGM2_1	PGM2	phosphoglucomutase 2 
PGP_1	PGP	phosphoglycolate phosphatase 
PGRMC1_1	PGRMC1	progesterone receptor membrane component 1 
PGS1_1	PGS1	phosphatidylglycerophosphate synthase 1 
PHACTR4_1	PHACTR4	phosphatase and actin regulator 4 
PHAX_1	PHAX	
PHB2_1	PHB2	prohibitin-2 
PHB_1	PHB	Prohibitin 
PHC1_1	PHC1	polyhomeotic homolog 1 
PHF10_1	PHF10	PHD finger protein 10 
PHF12_1	PHF12	PHD finger protein 12 
PHF13_1	PHF13	PHD finger protein 13 
PHF14_1	PHF14	PHD finger protein 14 
PHF20L1_1	PHF20L1	PHD finger protein 20 like 1 
PHF21A_1	PHF21A	PHD finger protein 21A 
PHF5A_1	PHF5A	PHD finger protein 5A 
PHGDH_1	PHGDH	phosphoglycerate dehydrogenase 
PHKB_1	PHKB	phosphorylase kinase regulatory subunit beta 
PHKG1_1	PHKG1	phosphorylase kinase catalytic subunit gamma 1 
PHLDA2_1	PHLDA2	pleckstrin homology like domain family A member 2 
PHPT1_1	PHPT1	phosphohistidine phosphatase 1 
PHTF2_1	PHTF2	putative homeodomain transcription factor 2 
PHYHD1_1	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1 
PHYHIPL_1	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like 
PHYH_1	PHYH	phytanoyl-CoA 2-hydroxylase 
PI15_1	PI15	Peptidase inhibitor 15 
PIAS2_1	PIAS2	
PID1_1	PID1	phosphotyrosine interaction domain containing 1 
PIGF_1	PIGF	phosphatidylinositol glycan anchor biosynthesis class F 
PIGH_1	PIGH	phosphatidylinositol glycan anchor biosynthesis class H 
PIGK_1	PIGK	phosphatidylinositol glycan anchor biosynthesis class K 
PIGM_1	PIGM	phosphatidylinositol glycan anchor biosynthesis class M 
PIGP_1	PIGP	phosphatidylinositol glycan anchor biosynthesis class P 
PIGQ_1	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q 
PIGR_1	PIGR	polymeric immunoglobulin receptor 
PIGS_1	PIGS	phosphatidylinositol glycan anchor biosynthesis class S 
PIGT_1	PIGT	phosphatidylinositol glycan anchor biosynthesis class T 
PIGU_1	PIGU	phosphatidylinositol glycan anchor biosynthesis class U 
PIGX_1	PIGX	phosphatidylinositol glycan anchor biosynthesis class X 
PIGY_1	PIGY	phosphatidylinositol glycan anchor biosynthesis class Y 
PIH1D3_1	PIH1D3	PIH1 domain containing 3 
PIK3C3_1	PIK3C3	
PIK3CB_1	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta 
PIK3CD_1	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta 
PIK3CD_2	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta 
PIK3CG_1	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma 
PIK3R4_1	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4 
PIK3R5_1	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 
PIN4_1	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 
PIP4K2A_1	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha 
